UniProtKB,Gene_symbol,Endogenous_interactions_with_virus_targets,Endogenous_interactions_with_virus_targets(No.),Endogenous_interactions_with_spike_targets(Frequency),Endogenous_interactions_with_envelope_targets(Frequency),Endogenous_interactions_with_membrane_targets(Frequency),Endogenous_interactions_with_nucleocapsid_targets(Frequency),Endogenous_interactions_with_orf3a_targets(Frequency),Endogenous_interactions_with_orf6_targets(Frequency),Endogenous_interactions_with_orf7a_targets(Frequency),Endogenous_interactions_with_orf8_targets(Frequency),Endogenous_interactions_with_orf10_targets(Frequency),Endogenous_interactions_with_NSP1_targets(Frequency),Endogenous_interactions_with_NSP2_targets(Frequency),Endogenous_interactions_with_NSP3_targets(Frequency),Endogenous_interactions_with_NSP4_targets(Frequency),Endogenous_interactions_with_NSP5_targets(Frequency),Endogenous_interactions_with_NSP6_targets(Frequency),Endogenous_interactions_with_NSP7_targets(Frequency),Endogenous_interactions_with_NSP8_targets(Frequency),Endogenous_interactions_with_NSP9_targets(Frequency),Endogenous_interactions_with_NSP10_targets(Frequency),Endogenous_interactions_with_NSP11_targets(Frequency),Endogenous_interactions_with_NSP12_targets(Frequency),Endogenous_interactions_with_NSP13_targets(Frequency),Endogenous_interactions_with_NSP14_targets(Frequency),Endogenous_interactions_with_NSP15_targets(Frequency),Endogenous_interactions_with_NSP16_targets(Frequency)
P78357,CNTNAP1,M:RTN4;nsp7:RHOA;orf8:SIL1;,3,0,0,0.033,0,0,0,0,0.021,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q8WYQ3,CHCHD10,M:PITRM1;nsp7:CYB5R3;orf8:CISD3;,3,0,0,0.033,0,0,0,0,0.021,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q9H3K2,GHITM,M:PMPCA;nsp7:FAM162A;orf8:CISD3;,3,0,0,0.033,0,0,0,0,0.021,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
O15085,ARHGEF11,N:LARP1;nsp7:RHOA;orf6:NUP98;,3,0,0,0,0.067,0,0.333,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q9H5K3,POMK,M:YIF1A;nsp7:NAT14;orf3a:ALG5;,3,0,0,0.033,0,0.125,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
P10114,RAP2A,N:MOV10;N:RRP9;nsp7:RALA;,3,0,0,0,0.133,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q9Y5U9,IER3IP1,N:CSNK2B;N:MOV10;nsp7:GNG5;,3,0,0,0,0.133,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
P28288,ABCD3,M:STOM;N:MOV10;nsp7:RAB7A;,3,0,0,0.033,0.067,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
P55085,F2RL1,M:RTN4;N:MOV10;nsp7:NAT14;,3,0,0,0.033,0.067,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q16658,FSCN1,M:AAR2;N:G3BP1;nsp7:RAB1A;,3,0,0,0.033,0.067,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q6P1Q0,LETMD1,M:REEP5;N:MOV10;nsp7:RAB5C;,3,0,0,0.033,0.067,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q86TW2,ADCK1,M:PMPCB;N:MOV10;nsp7:RAB1A;,3,0,0,0.033,0.067,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q8TEX9,IPO4,M:STOM;N:MOV10;nsp7:TOR1AIP1;,3,0,0,0.033,0.067,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q9UHD1,CHORDC1,M:TARS2;N:G3BP1;nsp7:AGPS;,3,0,0,0.033,0.067,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
P58546,MTPN,M:ATP6V1A;M:AAR2;nsp7:RAB1A;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q15884,FAM189A2,M:ANO6;M:FAM8A1;nsp7:DCAKD;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q8WUK0,PTPMT1,M:AAR2;M:PMPCB;nsp7:NDUFAF2;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q99732,LITAF,M:REEP5;M:REEP6;nsp7:COMT;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q9BQB6,VKORC1,M:REEP5;M:YIF1A;nsp7:COMT;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q9BTV4,TMEM43,M:BZW2;M:RTN4;nsp7:RAB7A;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q9BXW7,HDHD5,M:PMPCB;M:PMPCA;nsp7:DNAJC19;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0,0,0,0.031,0,0,0,N/A,0,0,0,0,N/A
Q96BW9,TAMM41,M:PMPCB;nsp4:IDE;nsp6:ATP5MG;,3,0,0,0.033,0,0,0,0,0,0,0,0,N/A,0.125,0,0.25,0,0,0,0,N/A,0,0,0,0,N/A
O00214,LGALS8,M:ANO6;nsp6:ATP13A3;orf8:ITGB1;,3,0,0,0.033,0,0,0,0,0.021,0,0,0,N/A,0,0,0.25,0,0,0,0,N/A,0,0,0,0,N/A
O00422,SAP18,E:ZC3H18;N:CSNK2A2;nsp6:ATP5MG;,3,0,0.167,0,0.067,0,0,0,0,0,0,0,N/A,0,0,0.25,0,0,0,0,N/A,0,0,0,0,N/A
P06454,PTMA,N:LARP1;nsp2:RAP1GDS1;nsp5:HDAC2;,3,0,0,0,0.067,0,0,0,0,0,0,0.143,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
P48382,RFX5,N:MOV10;nsp2:GIGYF2;nsp5:HDAC2;,3,0,0,0,0.067,0,0,0,0,0,0,0.143,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
Q8IYK4,COLGALT2,nsp1:COLGALT1;nsp5:HDAC2;orf8:OS9;,3,0,0,0,0,0,0,0,0.021,0,0.167,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
O14519,CDK2AP1,N:CSNK2B;nsp1:POLA1;nsp5:HDAC2;,3,0,0,0,0.067,0,0,0,0,0,0.167,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
O43474,KLF4,nsp5:HDAC2;orf10:CUL2;orf10:ELOB;,3,0,0,0,0,0,0,0,0,0.222,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
P11388,TOP2A,nsp5:HDAC2;orf10:ELOC;orf10:CUL2;,3,0,0,0,0,0,0,0,0,0.222,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9UBC3,DNMT3B,nsp5:HDAC2;orf10:CUL2;orf8:DNMT1;,3,0,0,0,0,0,0,0,0.021,0.111,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
P01023,A2M,nsp5:HDAC2;orf8:FBXL12;orf8:ADAMTS1;,3,0,0,0,0,0,0,0,0.043,0,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
Q05707,COL14A1,nsp5:HDAC2;orf8:OS9;orf8:SIL1;,3,0,0,0,0,0,0,0,0.043,0,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9NRZ9,HELLS,nsp5:HDAC2;orf8:DNMT1;orf8:PVR;,3,0,0,0,0,0,0,0,0.043,0,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
Q14674,ESPL1,N:MOV10;nsp5:HDAC2;orf8:IL17RA;,3,0,0,0,0.067,0,0,0,0.021,0,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9H4L7,SMARCAD1,E:ZC3H18;nsp5:HDAC2;orf7a:MDN1;,3,0,0.167,0,0,0,0,0.5,0,0,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
Q07157,TJP1,nsp5:HDAC2;orf3a:SUN2;orf6:RAE1;,3,0,0,0,0,0.125,0.333,0,0,0,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
O60566,BUB1B,E:AP3B1;nsp5:HDAC2;orf6:RAE1;,3,0,0.167,0,0,0,0.333,0,0,0,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
P35568,IRS1,N:CSNK2B;N:CSNK2A2;nsp5:HDAC2;,3,0,0,0,0.133,0,0,0,0,0,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
O75531,BANF1,M:ATP6V1A;N:G3BP1;nsp5:HDAC2;,3,0,0,0.033,0.067,0,0,0,0,0,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
Q15672,TWIST1,E:BRD4;N:G3BP2;nsp5:HDAC2;,3,0,0.167,0,0.067,0,0,0,0,0,0,0,N/A,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9Y5J7,TIMM9,nsp4:TIMM10B;nsp4:TIMM10;nsp4:TIMM29;,3,0,0,0,0,0,0,0,0,0,0,0,N/A,0.375,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P60604,UBE2G2,nsp4:ALG11;orf10:RBX1;orf8:ERLEC1;,3,0,0,0,0,0,0,0,0.021,0.111,0,0,N/A,0.125,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9BV94,EDEM2,nsp4:TIMM29;orf8:OS9;orf8:EDEM3;,3,0,0,0,0,0,0,0,0.043,0,0,0,N/A,0.125,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9Y2Q3,GSTK1,nsp4:DNAJC11;orf7a:HEATR3;orf8:CISD3;,3,0,0,0,0,0,0,0.5,0.021,0,0,0,N/A,0.125,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q5TGZ0,MICOS10,M:TUBGCP2;N:MOV10;nsp4:DNAJC11;,3,0,0,0.033,0.067,0,0,0,0,0,0,0,N/A,0.125,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P20155,SPINK2,M:PMPCB;M:PMPCA;nsp4:IDE;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0.125,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P60022,DEFB1,M:PMPCA;M:PMPCB;nsp4:IDE;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0.125,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q6UXV4,APOOL,M:PMPCA;M:PMPCB;nsp4:DNAJC11;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0.125,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q96FC7,PHYHIPL,M:PMPCB;M:PMPCA;nsp4:IDE;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0.125,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9HD34,LYRM4,M:PMPCB;M:PMPCA;nsp4:IDE;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0.125,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9NS69,TOMM22,M:AAR2;M:STOM;nsp4:TIMM29;,3,0,0,0.067,0,0,0,0,0,0,0,0,N/A,0.125,0,0,0,0,0,0,N/A,0,0,0,0,N/A
O43896,KIF1C,nsp2:EIF4E2;nsp2:GIGYF2;orf6:NUP98;,3,0,0,0,0,0,0.333,0,0,0,0,0.286,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
O95544,NADK,N:MOV10;nsp2:EIF4E2;nsp2:GIGYF2;,3,0,0,0,0.067,0,0,0,0,0,0,0.286,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q08AD1,CAMSAP2,N:CSNK2A2;nsp2:EIF4E2;nsp2:GIGYF2;,3,0,0,0,0.067,0,0,0,0,0,0,0.286,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q14141,SEPTIN6,nsp2:RAP1GDS1;orf10:PPT1;orf8:PLEKHF2;,3,0,0,0,0,0,0,0,0.021,0.111,0,0.143,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P60953,CDC42,M:ETFA;nsp2:RAP1GDS1;orf10:ELOB;,3,0,0,0.033,0,0,0,0,0,0.111,0,0.143,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P68036,UBE2L3,M:AAR2;nsp2:EIF4E2;orf10:RBX1;,3,0,0,0.033,0,0,0,0,0,0.111,0,0.143,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
O75396,SEC22B,M:AAR2;nsp2:WASHC4;orf8:ERO1B;,3,0,0,0.033,0,0,0,0,0.021,0,0,0.143,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P14314,PRKCSH,M:PITRM1;nsp2:SLC27A2;orf8:EDEM3;,3,0,0,0.033,0,0,0,0,0.021,0,0,0.143,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9BZV1,UBXN6,N:MOV10;nsp2:POR;orf6:NUP98;,3,0,0,0,0.067,0,0.333,0,0,0,0,0.143,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q96AP4,ZUP1,nsp2:FKBP15;orf3a:VPS39;orf3a:VPS11;,3,0,0,0,0,0.25,0,0,0,0,0,0.143,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P49770,EIF2B2,M:BZW2;N:CSNK2A2;nsp2:SLC27A2;,3,0,0,0.033,0.067,0,0,0,0,0,0,0.143,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q14181,POLA2,nsp1:PRIM1;nsp1:PRIM2;nsp1:POLA1;,3,0,0,0,0,0,0,0,0,0,0.5,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P49643,PRIM2,N:MOV10;nsp1:POLA1;nsp1:PRIM1;,3,0,0,0,0.067,0,0,0,0,0,0.333,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9BS26,ERP44,nsp1:PRIM2;orf8:PLD3;orf8:ERO1B;,3,0,0,0,0,0,0,0,0.043,0,0.167,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P21980,TGM2,N:CSNK2A2;nsp1:COLGALT1;orf8:LOX;,3,0,0,0,0.067,0,0,0,0.021,0,0.167,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q16082,HSPB2,M:ETFA;nsp1:PKP2;orf8:SDF2;,3,0,0,0.033,0,0,0,0,0.021,0,0.167,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q8WVY7,UBLCP1,M:PSMD8;N:RRP9;nsp1:COLGALT1;,3,0,0,0.033,0.067,0,0,0,0,0,0.167,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P57737,CORO7,orf10:ELOC;orf10:ELOB;orf10:RBX1;,3,0,0,0,0,0,0,0,0,0.333,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q14657,LAGE3,orf10:ELOB;orf10:ELOC;orf10:CUL2;,3,0,0,0,0,0,0,0,0,0.333,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q6PH85,DCUN1D2,orf10:RBX1;orf10:ELOB;orf10:CUL2;,3,0,0,0,0,0,0,0,0,0.333,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q8IWE4,DCUN1D3,orf10:RBX1;orf10:ELOB;orf10:CUL2;,3,0,0,0,0,0,0,0,0,0.333,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q96Q27,ASB2,orf10:ELOC;orf10:ELOB;orf10:CUL2;,3,0,0,0,0,0,0,0,0,0.333,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9NSE2,CISH,orf10:ELOB;orf10:ELOC;orf10:CUL2;,3,0,0,0,0,0,0,0,0,0.333,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9NV79,PCMTD2,orf10:ELOC;orf10:ELOB;orf10:CUL2;,3,0,0,0,0,0,0,0,0,0.333,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9Y5L4,TIMM13,orf10:PPT1;orf10:CUL2;orf10:TIMM8B;,3,0,0,0,0,0,0,0,0,0.333,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9Y3Z3,SAMHD1,orf10:CUL2;orf10:RBX1;orf8:PLOD2;,3,0,0,0,0,0,0,0,0.021,0.222,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q86WU2,LDHD,N:FAM98A;orf10:ELOB;orf10:MAP7D1;,3,0,0,0,0.067,0,0,0,0,0.222,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q8WXK3,ASB13,N:MOV10;orf10:ELOC;orf10:ELOB;,3,0,0,0,0.067,0,0,0,0,0.222,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9H765,ASB8,N:MOV10;orf10:ELOB;orf10:ELOC;,3,0,0,0,0.067,0,0,0,0,0.222,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9UHY1,NRBP1,N:CSNK2B;orf10:ELOC;orf10:ELOB;,3,0,0,0,0.067,0,0,0,0,0.222,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P07339,CTSD,M:ATP6V1A;orf10:PPT1;orf10:CUL2;,3,0,0,0.033,0,0,0,0,0,0.222,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q14145,KEAP1,E:ZC3H18;orf10:CUL2;orf10:RBX1;,3,0,0.167,0,0,0,0,0,0,0.222,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q8IWV7,UBR1,orf10:CUL2;orf3a:CLCC1;orf8:SIL1;,3,0,0,0,0,0.125,0,0,0.021,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
O75306,NDUFS2,N:MOV10;orf10:PPT1;orf8:CISD3;,3,0,0,0,0.067,0,0,0,0.021,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q5TZA2,CROCC,N:G3BP1;orf10:ZYG11B;orf8:PUSL1;,3,0,0,0,0.067,0,0,0,0.021,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P15531,NME1,M:AAR2;orf10:PPT1;orf8:ITGB1;,3,0,0,0.033,0,0,0,0,0.021,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9NYU2,UGGT1,M:TUBGCP3;orf10:PPT1;orf8:UGGT2;,3,0,0,0.033,0,0,0,0,0.021,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9UH62,ARMCX3,M:AAR2;orf10:THTPA;orf8:HYOU1;,3,0,0,0.033,0,0,0,0,0.021,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9Y6C9,MTCH2,M:AAR2;orf10:PPT1;orf8:PVR;,3,0,0,0.033,0,0,0,0,0.021,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P15907,ST6GAL1,M:SAAL1;orf10:ZYG11B;orf7a:HEATR3;,3,0,0,0.033,0,0,0,0.5,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q92796,DLG3,E:AP3B1;orf10:CUL2;orf6:NUP98;,3,0,0.167,0,0,0,0.333,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9Y2K6,USP20,M:ACADM;orf10:MAP7D1;orf3a:SUN2;,3,0,0,0.033,0,0.125,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q6PJ21,SPSB3,N:MOV10;N:CSNK2B;orf10:ELOC;,3,0,0,0,0.133,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
O75340,PDCD6,M:AAR2;N:MOV10;orf10:CUL2;,3,0,0,0.033,0.067,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P02794,FTH1,M:ATP6V1A;N:CSNK2B;orf10:PPT1;,3,0,0,0.033,0.067,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P31948,STIP1,M:AAR2;N:G3BP1;orf10:PPT1;,3,0,0,0.033,0.067,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q06210,GFPT1,M:AAR2;N:G3BP1;orf10:RBX1;,3,0,0,0.033,0.067,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q99653,CHP1,M:AAR2;N:MOV10;orf10:PPT1;,3,0,0,0.033,0.067,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q01094,E2F1,E:BRD2;N:MOV10;orf10:CUL2;,3,0,0.167,0,0.067,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P04075,ALDOA,M:STOM;M:AAR2;orf10:CUL2;,3,0,0,0.067,0,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P17812,CTPS1,M:TUBGCP3;M:AAR2;orf10:CUL2;,3,0,0,0.067,0,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q8NE71,ABCF1,M:PSMD8;M:AAR2;orf10:CUL2;,3,0,0,0.067,0,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q92616,GCN1,M:STOM;M:AAR2;orf10:PPT1;,3,0,0,0.067,0,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9HC36,MRM3,M:PMPCB;M:PMPCA;orf10:CUL2;,3,0,0,0.067,0,0,0,0,0,0.111,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P06756,ITGAV,orf8:ITGB1;orf8:ADAM9;orf8:GGH;,3,0,0,0,0,0,0,0,0.064,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P08833,IGFBP1,orf8:SMOC1;orf8:PLAT;orf8:ADAMTS1;,3,0,0,0,0,0,0,0,0.064,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P49917,LIG4,orf8:GGH;orf8:NEU1;orf8:NPC2;,3,0,0,0,0,0,0,0,0.064,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9P2K2,TXNDC16,orf8:GGH;orf8:OS9;orf8:FOXRED2;,3,0,0,0,0,0,0,0,0.064,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q8IWV8,UBR2,orf3a:CLCC1;orf8:SMOC1;orf8:SIL1;,3,0,0,0,0,0.125,0,0,0.043,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9BQ95,ECSIT,orf3a:TRIM59;orf8:ITGB1;orf8:FBXL12;,3,0,0,0,0,0.125,0,0,0.043,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9BPW8,NIPSNAP1,N:MOV10;orf8:FOXRED2;orf8:CISD3;,3,0,0,0,0.067,0,0,0,0.043,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9UNF0,PACSIN2,N:MOV10;orf8:PLOD2;orf8:ERP44;,3,0,0,0,0.067,0,0,0,0.043,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q8TC27,ADAM32,M:INTS4;orf8:ADAM9;orf8:ADAMTS1;,3,0,0,0.033,0,0,0,0,0.043,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q96DZ1,ERLEC1,M:FAM8A1;orf8:OS9;orf8:FOXRED2;,3,0,0,0.033,0,0,0,0,0.043,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9H4A9,DPEP2,M:YIF1A;orf8:OS9;orf8:CHPF2;,3,0,0,0.033,0,0,0,0,0.043,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P50579,METAP2,orf3a:SUN2;orf6:NUP98;orf8:PVR;,3,0,0,0,0,0.125,0.333,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q02297,NRG1,orf3a:HMOX1;orf6:MTCH1;orf8:TM2D3;,3,0,0,0,0,0.125,0.333,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
O75534,CSDE1,N:G3BP1;orf6:NUP98;orf8:PLOD2;,3,0,0,0,0.067,0,0.333,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P49768,PSEN1,M:ETFA;orf6:MTCH1;orf8:FBXL12;,3,0,0,0.033,0,0,0.333,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q401N2,ZACN,M:FAM8A1;orf3a:CLCC1;orf8:EMC1;,3,0,0,0.033,0,0.125,0,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
A1L020,MEX3A,N:G3BP1;N:PABPC1;orf8:ERP44;,3,0,0,0,0.133,0,0,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
O00468,AGRN,N:CSNK2A2;N:MOV10;orf8:OS9;,3,0,0,0,0.133,0,0,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P13489,RNH1,N:G3BP2;N:G3BP1;orf8:FBXL12;,3,0,0,0,0.133,0,0,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q99661,KIF2C,N:CSNK2B;N:MOV10;orf8:ADAM9;,3,0,0,0,0.133,0,0,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P30086,PEBP1,M:AAR2;N:MOV10;orf8:STC2;,3,0,0,0.033,0.067,0,0,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
P46109,CRKL,M:AAR2;N:MOV10;orf8:ITGB1;,3,0,0,0.033,0.067,0,0,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
Q9NS86,LANCL2,M:AAR2;N:MOV10;orf8:PVR;,3,0,0,0.033,0.067,0,0,0,0.021,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A
